input_dim,hdims,dprob,batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,optimizer__sgd__nesterov,optimizer__sgd__momentum,optimizer__adam__amsgrad,optimizer__adadelta__rho,optimizer__adagrad__lr_decay,optimizer__rmsprop__momentum,optimizer__rmsprop__centered,score
784,"[747, 1131]",0.2958835664552529,256,adamax,0.011761824861516251,0.0025595717862307707,False,0.31079647229789686,True,0.8910730094773639,0.0024983870406174676,0.20175323639907689,True,0.96669921875
784,"[614, 915, 69]",0.6892751137417105,512,adam,0.006714159707109242,0.0011833827404846193,False,0.0012079769807718992,False,0.0005029104305218674,0.0018191385764705784,0.3668059597657605,True,0.9612017463235294
784,[1822],0.8173367462791874,64,sgd,0.0001863130774220831,0.007861174197652646,False,0.004647084390625023,True,0.0033577505337053014,0.169643704956576,0.17545128284133335,False,0.9307324840764332
784,"[906, 1430, 1486]",0.7800299616344603,128,adagrad,0.00036291343876698886,0.004018557868115633,False,0.0019797191018934594,True,0.06012024043179144,0.023747046283529548,0.03366418236127843,True,0.8969541139240507
784,[1473],0.7402989877708808,128,adadelta,0.04158007131634749,0.003127560411392145,True,0.8953258961145083,False,0.12823830101283018,0.00012939807637203838,0.0004961649309025573,True,0.8603639240506329
784,[1827],0.46427341305611075,256,adam,0.009755176810470289,0.054081864247936,False,0.0002727192594704537,True,0.000853775562596442,0.005590397012019964,0.1014312961401944,True,0.84072265625
784,"[859, 429, 1025]",0.4033607858712486,64,sgd,0.02622801255798107,0.0011578300820105593,False,0.021686250314398497,True,0.000485355660109898,0.00016845348482920214,0.0004247573607883566,True,0.8404657643312102
784,"[835, 512, 809]",0.5567234974872958,64,adagrad,0.00017005603929535899,0.000148630393550951,False,0.0014803023019158345,False,0.0029611542991507716,0.31189546710666577,0.0001311278481052329,False,0.28234474522292996
784,[1817],0.817929329186782,256,adamax,0.1723878729605682,0.2980496510496199,True,0.0001720888064375721,True,0.012151719015074678,0.02101493639068091,0.0017250273762713013,False,0.2279296875
784,"[474, 1090]",0.9942899769549747,128,adam,0.010686051698983,0.001327922698219376,False,0.0002717497684698542,False,0.4355896886708715,0.0007473156104842762,0.00283410716962404,False,0.20322389240506328
